"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd74",0,2.72422224996989,0.634,0.308,0,"0","Cd74"
"Lyz2",0,2.68024145065301,0.417,0.047,0,"0","Lyz2"
"Pid1",0,2.65201182241043,0.617,0.244,0,"0","Pid1"
"Ctss",0,2.30788980088086,0.404,0.051,0,"0","Ctss"
"Cd86",0,2.24368237191491,0.325,0.041,0,"0","Cd86"
"Slc8a1",0,2.14323692862524,0.478,0.125,0,"0","Slc8a1"
"Zeb2",0,2.03236492296727,0.744,0.397,0,"0","Zeb2"
"Ptprc",0,1.76113100235639,0.499,0.133,0,"0","Ptprc"
"Lrmda",4.28428630449089e-292,1.64564596604951,0.699,0.328,2.43128963493554e-287,"0","Lrmda"
"Cybb",1.54244732103617e-290,1.93758699624495,0.276,0.032,8.75323430214819e-286,"0","Cybb"
"Aoah",9.49374170679937e-290,1.98613602270686,0.345,0.062,5.38760348119157e-285,"0","Aoah"
"Ctsc",5.51491184596346e-288,2.01185588259346,0.308,0.047,3.12965732346581e-283,"0","Ctsc"
"H2-Ab1",2.42720232357167e-284,2.33914186559557,0.373,0.083,1.37741304660369e-279,"0","H2-Ab1"
"Trps1",2.71475246967332e-269,1.8042430402063,0.471,0.145,1.54059487901491e-264,"0","Trps1"
"mt-Rnr2",1.56932061469563e-245,0.684229911572355,0.997,0.983,8.9057375563362e-241,"0","mt-Rnr2"
"Dock2",6.09835307220158e-244,1.62479493315627,0.486,0.16,3.46075438494368e-239,"0","Dock2"
"Laptm5",3.60867736539977e-235,1.67736011144962,0.267,0.042,2.04788831809072e-230,"0","Laptm5"
"Arhgap15",1.47467665184574e-230,1.74698624787749,0.441,0.14,8.36864253155937e-226,"0","Arhgap15"
"H2-Eb1",2.02333874108287e-224,2.0206225975181,0.303,0.066,1.14822450217712e-219,"0","H2-Eb1"
"Sirpa",8.81483138990567e-216,1.67002733014085,0.29,0.058,5.00232866545757e-211,"0","Sirpa"
"Dock4",3.53309378197115e-205,1.86425306987515,0.389,0.125,2.00499539033081e-200,"0","Dock4"
"C1qa",6.77264308728057e-204,1.90122374939794,0.205,0.026,3.84340722560085e-199,"0","C1qa"
"Syk",8.88501565324793e-202,1.55928060983546,0.337,0.086,5.04215753306167e-197,"0","Syk"
"Pstpip2",1.5760596199024e-199,2.19628755765261,0.351,0.105,8.94398073698413e-195,"0","Pstpip2"
"Plek",2.84292656898837e-199,0.909807698625274,0.498,0.184,1.61333239863521e-194,"0","Plek"
"Cd38",2.1732830888359e-190,1.66848236559278,0.202,0.028,1.23331642008349e-185,"0","Cd38"
"Csf1r",7.07483117500254e-188,1.451071392328,0.193,0.025,4.01489594350219e-183,"0","Csf1r"
"Gpr141",1.00614473177498e-184,1.79093310947391,0.259,0.054,5.70977073834986e-180,"0","Gpr141"
"Rgs1",3.97048833645703e-181,1.53569001233592,0.167,0.017,2.253212426056e-176,"0","Rgs1"
"Mpeg1",2.47890204824461e-180,1.51563058533468,0.259,0.055,1.40675212335834e-175,"0","Mpeg1"
"Slamf7",5.29552888977949e-179,1.37906127316554,0.156,0.014,3.00515968966096e-174,"0","Slamf7"
"H2-Aa",5.61686775436859e-179,1.70891655579225,0.229,0.043,3.18751628192663e-174,"0","H2-Aa"
"Lyn",5.55257495588586e-176,1.49866615522155,0.555,0.314,3.15103076171567e-171,"0","Lyn"
