"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm19951",0,1.63238287456257,0.965,0.726,0,"KO","Gm19951"
"Gphn",0,1.52281662082246,0.961,0.715,0,"KO","Gphn"
"Plec",0,1.27784503221742,0.661,0.23,0,"KO","Plec"
"Cmss1",0,1.08125952359872,0.998,0.938,0,"KO","Cmss1"
"Rn18s-rs5",0,0.972258271794672,1,1,0,"KO","Rn18s-rs5"
"Lars2",0,0.381955988391326,0.968,0.679,0,"KO","Lars2"
"Peak1",8.93535301064468e-297,1.72344421265566,0.662,0.274,5.07072348001075e-292,"KO","Peak1"
"Ahnak",1.15654498696002e-284,1.24110208707383,0.776,0.477,6.56327714649943e-280,"KO","Ahnak"
"Map1b",8.56194415381234e-274,0.999933676142218,0.541,0.168,4.85881768784696e-269,"KO","Map1b"
"Rpph1",8.03265162489412e-263,1.66889917658175,0.758,0.374,4.55844947061117e-258,"KO","Rpph1"
"Ybx1",2.66562161829584e-254,0.931537544444212,0.578,0.207,1.51271361216671e-249,"KO","Ybx1"
"Ccnd1",1.18861661753104e-224,0.817587806452823,0.478,0.144,6.74528044282691e-220,"KO","Ccnd1"
"Col18a1",4.17876736011939e-217,0.883179749357298,0.513,0.183,2.37140868919415e-212,"KO","Col18a1"
"Nolc1",1.61928061974685e-215,0.715759516391935,0.344,0.066,9.1892555890014e-211,"KO","Nolc1"
"Eif3a",4.84934232724063e-213,0.826908643932172,0.739,0.403,2.75195327728579e-208,"KO","Eif3a"
"Myh9",1.14887792880826e-208,0.737136646458738,0.766,0.403,6.519767358194e-204,"KO","Myh9"
"Hnrnpu",1.4467330581246e-206,0.706434582853306,0.645,0.289,8.21006543155129e-202,"KO","Hnrnpu"
"Mki67",6.27516604387995e-206,1.09848467569093,0.367,0.088,3.56109397824143e-201,"KO","Mki67"
"Hspd1",3.51486224636292e-202,0.768215187587895,0.421,0.121,1.9946491761885e-197,"KO","Hspd1"
"Ncl",7.04040751038741e-201,0.828703683134679,0.755,0.445,3.99536085806975e-196,"KO","Ncl"
"Cald1",6.52730972725827e-197,0.771831595574392,0.587,0.247,3.7041829971218e-192,"KO","Cald1"
"Slk",9.03651308334554e-197,0.664717724122672,0.56,0.218,5.12813080966776e-192,"KO","Slk"
"Npm1",2.28429508112694e-195,0.749316078534425,0.53,0.202,1.29631461558873e-190,"KO","Npm1"
"Actn1",5.8140627721918e-195,0.666676352573109,0.45,0.139,3.29942248259112e-190,"KO","Actn1"
"Vim",2.42715838258641e-194,0.732073894846251,0.56,0.222,1.37738811053396e-189,"KO","Vim"
"Hmga2",6.85849432466207e-191,0.790658170373511,0.464,0.154,3.89212694430248e-186,"KO","Hmga2"
"Taf1d",7.22047370999138e-190,0.692823149649265,0.384,0.103,4.09754662568301e-185,"KO","Taf1d"
"Gm45589",9.54117191958632e-185,0.673644983155609,0.386,0.105,5.41451965264604e-180,"KO","Gm45589"
"Serbp1",1.58865137373136e-184,0.651655737728384,0.533,0.207,9.01543768078809e-180,"KO","Serbp1"
"Ktn1",2.71818538961496e-184,0.660954533298072,0.507,0.19,1.54254302675259e-179,"KO","Ktn1"
"Adss",3.90852195824452e-184,0.628621406211365,0.373,0.098,2.21804712608418e-179,"KO","Adss"
"Itga3",3.24637381832967e-182,0.591841845958951,0.356,0.088,1.8422846781639e-177,"KO","Itga3"
"Tpm1",8.9066332124009e-181,0.656428700772048,0.449,0.15,5.05442528170538e-176,"KO","Tpm1"
"Lmna",7.08561493694468e-180,0.635254409874828,0.462,0.158,4.02101562056674e-175,"KO","Lmna"
"Nop58",2.46003288508553e-179,0.585678825846719,0.407,0.121,1.39604406195718e-174,"KO","Nop58"
"AI506816",3.89213236370168e-179,0.673448561738064,0.313,0.067,2.20874619507707e-174,"KO","AI506816"
"Gm42047",1.29890130221212e-178,0.713794234336257,0.421,0.132,7.37113499992355e-174,"KO","Gm42047"
"Hbegf",2.5462580815489e-174,0.65721618798738,0.321,0.073,1.44497599869818e-169,"KO","Hbegf"
"Map7d1",2.56209820544657e-172,0.554386607757017,0.439,0.146,1.45396511060887e-167,"KO","Map7d1"
"Rock2",2.8042210861584e-172,0.622256375858104,0.574,0.25,1.59136742418403e-167,"KO","Rock2"
"Itga6",2.98562494203202e-172,0.612675432769428,0.463,0.166,1.69431229835375e-167,"KO","Itga6"
"Epha2",1.90510360392234e-171,0.563638935063653,0.293,0.059,1.08112724418989e-166,"KO","Epha2"
"Emp1",3.10892427614073e-170,0.615877756722227,0.379,0.109,1.7642834374671e-165,"KO","Emp1"
"Eef1g",3.70951616734236e-170,0.514687882915418,0.378,0.108,2.10511332980512e-165,"KO","Eef1g"
"Ahnak2",1.8479597807716e-169,0.554821798440929,0.31,0.069,1.04869869599008e-164,"KO","Ahnak2"
"Pkm",2.15002021374316e-167,0.600605458040286,0.538,0.217,1.2201149710971e-162,"KO","Pkm"
"Camk1d",9.39691703556469e-166,0.475081473266006,0.967,0.818,5.33265644851261e-161,"KO","Camk1d"
"Hnrnpd",2.58439847562026e-165,0.554686242937451,0.415,0.135,1.46662029092974e-160,"KO","Hnrnpd"
