"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rn18s-rs5",4.12452084413231e-30,0.586804824750482,1,1,2.34062433383665e-25,"KO","Rn18s-rs5"
"Gphn",3.43086326501238e-24,1.35720849551541,0.928,0.587,1.94698059426188e-19,"KO","Gphn"
"Lars2",1.06553177239945e-16,0.415802697551879,0.941,0.612,6.04678625518966e-12,"KO","Lars2"
"Cmss1",3.71581998570331e-13,0.611237559710039,0.997,0.992,2.10869068368677e-08,"KO","Cmss1"
"Baz2b",5.12233742439128e-10,1.13509258362666,0.569,0.24,2.90687526496781e-05,"KO","Baz2b"
"Peak1",1.33806014113956e-08,1.49082840844263,0.468,0.19,0.000759335749495291,"KO","Peak1"
"Slfn4",8.97285283878283e-08,1.11999844466368,0.579,0.298,0.00509200425748087,"KO","Slfn4"
"Alcam",9.99964077402466e-08,1.24944117873144,0.656,0.38,0.00567469614285126,"KO","Alcam"
"Lilrb4b",1.95281512031146e-07,0.875110070726764,0.793,0.554,0.0110820305262555,"KO","Lilrb4b"
"Myh9",3.3379185247339e-07,0.981936993557189,0.558,0.281,0.0189423538360124,"KO","Myh9"
"Fmo5",5.20645264055002e-08,1.21816800503706,0.107,0.016,0.00295460980898573,"WT","Fmo5"
"Dennd4a",1.04290070150737e-07,0.972687751859654,0.711,0.566,0.00591835719098417,"WT","Dennd4a"
"Gm10800",1.40915660364708e-07,1.41507125885394,0.24,0.086,0.00799682281003679,"WT","Gm10800"
"Cxcl10",2.25101809986405e-07,1.36233929366437,0.364,0.177,0.0127743026149185,"WT","Cxcl10"
"Irf1",3.12757741568244e-07,0.978699197911166,0.562,0.348,0.0177486890762563,"WT","Irf1"
"Aff1",4.47039363415301e-07,1.12057920778585,0.521,0.341,0.0253690368344549,"WT","Aff1"
